"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-2172127","R-HSA-2172127","DAP12 interactions",25,-0.581368729550465,-1.59250156881475,0.0131587189365358,0.175082548292074,0.175082548292074,91,"tags=12%, list=1%, signal=12%","HLA-C/HLA-E/HLA-B",0.380730400722792
"R-HSA-190861","R-HSA-190861","Gap junction assembly",17,-0.635220499637779,-1.57426693963509,0.0132207711130924,0.175082548292074,0.175082548292074,684,"tags=35%, list=6%, signal=33%","GJA5/GJB6/GJB5/TUBB2B/GJB4/GJA4",0.380730400722792
"R-HSA-5678895","R-HSA-5678895","Defective CFTR causes cystic fibrosis",31,0.476787365857819,1.58047437462195,0.0137503098882023,0.18040915844058,0.18040915844058,3069,"tags=61%, list=29%, signal=44%","RNF5/SEL1L/OS9/UBC/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/PSMB7/CFTR/PSMA6/PSMC2/ERLIN1/RPS27A/DERL1/ERLIN2/PSMA3/ERLEC1",0.380730400722792
"R-HSA-163210","R-HSA-163210","Formation of ATP by chemiosmotic coupling",10,0.718089112178414,1.75037382420752,0.0138869677074359,0.180530580196667,0.180530580196667,1734,"tags=70%, list=16%, signal=59%","ATP5MF/ATP5PB/ATP5F1B/ATP5MC2/ATP5MK/ATP5F1C/ATP5MC3",0.380730400722792
"R-HSA-5362768","R-HSA-5362768","Hh mutants are degraded by ERAD",28,0.482284374988238,1.6004435225348,0.014182924066167,0.182701849106896,0.182701849106896,2261,"tags=50%, list=21%, signal=40%","SEL1L/SHH/SYVN1/OS9/UBC/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/PSMB7/PSMA6/PSMC2/RPS27A",0.380730400722792
"R-HSA-186712","R-HSA-186712","Regulation of beta-cell development",23,0.533830068509672,1.66458283726897,0.0147535458505266,0.184975171874439,0.184975171874439,758,"tags=30%, list=7%, signal=28%","MAML1/NEUROD1/HES1/NEUROG3/PDX1/RFX6/HNF1A",0.380730400722792
"R-HSA-4839743","R-HSA-4839743","Signaling by CTNNB1 phospho-site mutants",11,0.64674678485736,1.61818441927069,0.0154037193233478,0.184975171874439,0.184975171874439,2174,"tags=64%, list=20%, signal=51%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.380730400722792
"R-HSA-5339716","R-HSA-5339716","Signaling by GSK3beta mutants",11,0.64674678485736,1.61818441927069,0.0154037193233478,0.184975171874439,0.184975171874439,2174,"tags=64%, list=20%, signal=51%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.380730400722792
"R-HSA-5358747","R-HSA-5358747","CTNNB1 S33 mutants aren't phosphorylated",11,0.64674678485736,1.61818441927069,0.0154037193233478,0.184975171874439,0.184975171874439,2174,"tags=64%, list=20%, signal=51%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.380730400722792
"R-HSA-5358749","R-HSA-5358749","CTNNB1 S37 mutants aren't phosphorylated",11,0.64674678485736,1.61818441927069,0.0154037193233478,0.184975171874439,0.184975171874439,2174,"tags=64%, list=20%, signal=51%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.380730400722792
