"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TXLNB",-0.84992334523481,1.87953822029659,-2.63375328936223,0.00942452594095166,0.485340539246233,-2.68115418985956
"ISL1",0.492224857752163,1.22813738368597,2.63199495096884,0.00947101175113286,0.485411902273538,-2.67745060680964
"ARL11",-0.423767127315556,3.49022157600089,-2.62711563193124,0.00960109288926935,0.48974674297254,-2.67348540336128
"TNFSF18",-0.851503356412883,-0.528982151651703,-2.62203571796026,0.00973823096769027,0.494398961817219,-2.82536906493381
"SLC27A6",-1.16328288614298,-0.568964755934686,-2.61964589694056,0.00980335539834722,0.495368611044184,-2.84688948756905
"SLC30A2",1.04728801916512,0.551834508464157,2.61768715708551,0.00985702486163517,0.495753077503642,-2.71948899234093
"RNF103",0.451625350622687,6.01174557984528,2.61455320303464,0.00994344589924496,0.496202558657712,-2.70646370648856
"ITIH1",-1.19202099378396,-2.20670328892942,-2.61402180309097,0.00995816711605182,0.496202558657712,-2.97523630769242
"LRGUK",0.719267788070958,-0.513214016138741,2.60223342054638,0.0102898251357628,0.50329945225795,-2.82136830188646
"BET1L",0.335056409761809,5.89895097618322,2.60042224561453,0.0103416530140308,0.50329945225795,-2.74052016895026
"EPHA10",0.620467911716738,3.29003385835883,2.59982160563099,0.0103588924864947,0.50329945225795,-2.7941750996576
"LRRC2",-0.503400039472291,1.58529292944468,-2.59599983004462,0.0104691914460879,0.50329945225795,-2.75259306950261
"KCNQ5",-1.03872122161747,0.177111648976627,-2.59238818836712,0.0105743954867777,0.50329945225795,-2.81952194889269
"CNPY2",0.255628884740902,6.41868809405384,2.59217982990994,0.0105804936962971,0.50329945225795,-2.77785109165002
"IFT81",-0.416616640026913,2.74302840212442,-2.59200030292636,0.0105857506059755,0.50329945225795,-2.74980091491441
"DLG2",-0.54286863049602,1.27563080873567,-2.59073976953372,0.010622727738014,0.50329945225795,-2.77593803967572
"CXCL13",-2.18979129658416,3.78602053223491,-2.58922119024994,0.0106674287304619,0.50329945225795,-2.75265813783886
"S100A16",0.48150258750477,7.16002867647503,2.5877288506085,0.0107115220173375,0.50329945225795,-2.78544850975516
